Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
FORD,Sierra Clipper,1982 - 1986,2.0,195/70 R 13,089H,195/70 R 13,089H
MAZDA,Mazda6,2012 - ,2.5 L 192,215/65 R 16,098Q,215/65 R 16,098Q
MAZDA,Mazda6,2012 - ,2.5 L 192,185/55 R 16,087M,185/55 R 16,087M
MAZDA,Mazda6,2012 - ,2.5 L 192,225/45 R 19,092W,225/45 R 19,092W
MAZDA,Mazda6,2012 - ,2.5 L 192,225/55 R 17,097V,225/55 R 17,097V
SUBARU,Justy I,1984 - 1995,1.2 L 75,155/70 R 13,072S,155/70 R 13,072S
SUBARU,Justy I,1984 - 1995,1.2 L 75,175/60 R 13,077H,175/60 R 13,077H
SUBARU,Justy I,1984 - 1995,1.2 L 75,165/65 R 13,076S,165/65 R 13,076S
HYUNDAI,Accent,2006 - 2011,1.6 L 112,205/45 R 16,083V,205/45 R 16,083V
HYUNDAI,Accent,2006 - 2011,1.6 L 112,195/55 R 15,085V,195/55 R 15,085V
HYUNDAI,Accent,2006 - 2011,1.6 L 112,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2006 - 2011,1.6 L 112,185/65 R 14,086H,185/65 R 14,086H
MAZDA,Mazda6,2012 - ,2.2 D 184,225/55 R 17,097V,225/55 R 17,097V
MAZDA,Mazda6,2012 - ,2.2 D 184,225/45 R 19,092W,225/45 R 19,092W
FORD,Sierra Clipper,1987 - 1994,2.0,175/80 R 13,086T,175/80 R 13,086T
FORD,Sierra Clipper,1987 - 1994,2.0,195/65 R 14,089T,195/65 R 14,089T
KIA,Sportage V,2022 - ,1.6 CRDi MHEV 136,215/65 R 17,103V,215/65 R 17,103V
KIA,Sportage V,2022 - ,1.6 CRDi MHEV 136,235/50 R 19,103V,235/50 R 19,103V
KIA,Sportage V,2022 - ,1.6 CRDi MHEV 136,235/55 R 18,104V,235/55 R 18,104V
ROVER,75 station wagon,1998 - 2007,2.5 V6 177,225/45 R 18,091W,225/45 R 18,091W
ROVER,75 station wagon,1998 - 2007,2.5 V6 177,195/65 R 15,091V,195/65 R 15,091V
ROVER,75 station wagon,1998 - 2007,2.5 V6 177,205/65 R 15,094V,205/65 R 15,094V
ROVER,75 station wagon,1998 - 2007,2.5 V6 177,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,2.5 V6 177,225/45 R 17,090W,225/45 R 17,090W
MAZDA,Mazda6,2012 - ,2.0 L 165,225/45 R 19,092W,225/45 R 19,092W
MAZDA,Mazda6,2012 - ,2.0 L 165,215/65 R 16,098Q,215/65 R 16,098Q
MAZDA,Mazda6,2012 - ,2.0 L 165,225/55 R 17,097V,225/55 R 17,097V
FORD,Sierra Clipper,1987 - 1994,1.8 TD,195/65 R 14,089H,195/65 R 14,089H
FORD,Sierra Clipper,1987 - 1994,1.8 TD,185/65 R 14,086T,185/65 R 14,086T
ROVER,75 station wagon,1998 - 2007,4.6 V8 260,215/50 R 17,091W,215/50 R 17,091W
ROVER,75 station wagon,1998 - 2007,4.6 V8 260,225/45 R 18,091W,225/45 R 18,091W
MAZDA,Mazda6,2012 - ,2.2 D 150,225/45 R 19,092W,225/45 R 19,092W
MAZDA,Mazda6,2012 - ,2.2 D 150,215/65 R 16,098Q,215/65 R 16,098Q
MAZDA,Mazda6,2012 - ,2.2 D 150,225/55 R 17,097V,225/55 R 17,097V
FORD,Sierra Clipper,1987 - 1994,2.3 V6,195/65 R 14,089H,195/65 R 14,089H
ROVER,75 station wagon,1998 - 2007,1.8 T 150,205/65 R 15,094V,205/65 R 15,094V
ROVER,75 station wagon,1998 - 2007,1.8 T 150,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,1.8 T 150,225/45 R 17,090W,225/45 R 17,090W
ROVER,75 station wagon,1998 - 2007,1.8 T 150,225/45 R 18,091W,225/45 R 18,091W
ROVER,75 station wagon,1998 - 2007,1.8 T 150,195/65 R 15,091V,195/65 R 15,091V
NISSAN,Qashqai,2007 - 2013,1.6 GPL 117,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai,2007 - 2013,1.6 GPL 117,215/60 R 17,096H,215/60 R 17,096H
MAZDA,Mazda6,2007 - 2013,2.3 L 166,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.3 L 166,215/50 R 17,091V,215/50 R 17,091V
MAZDA,Mazda6,2007 - 2013,2.3 L 166,205/60 R 16,092H,205/60 R 16,092H
MAZDA,Mazda6,2007 - 2013,2.3 L 166,225/45 R 18,091W,225/45 R 18,091W
HYUNDAI,Accent,2006 - 2011,1.5 CRDI 110,205/45 R 16,083V,205/45 R 16,083V
HYUNDAI,Accent,2006 - 2011,1.5 CRDI 110,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2006 - 2011,1.5 CRDI 110,185/65 R 14,086H,185/65 R 14,086H
HYUNDAI,Accent,2006 - 2011,1.5 CRDI 110,195/55 R 15,085V,195/55 R 15,085V
ROVER,75 station wagon,1998 - 2007,2.0 CDT 130,225/45 R 17,090W,225/45 R 17,090W
ROVER,75 station wagon,1998 - 2007,2.0 CDT 130,205/65 R 15,094V,205/65 R 15,094V
ROVER,75 station wagon,1998 - 2007,2.0 CDT 130,195/65 R 15,091V,195/65 R 15,091V
ROVER,75 station wagon,1998 - 2007,2.0 CDT 130,215/55 R 16,093W,215/55 R 16,093W
ROVER,75 station wagon,1998 - 2007,2.0 CDT 130,225/45 R 18,091W,225/45 R 18,091W
FORD,Sierra Clipper,1987 - 1994,1.6i,195/65 R 14,089H,195/65 R 14,089H
FORD,Sierra Clipper,1987 - 1994,1.6i,185/65 R 14,086T,185/65 R 14,086T
MAZDA,Mazda6,2007 - 2013,2.0 L 147,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.0 L 147,205/60 R 16,092V,205/60 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.0 L 147,215/50 R 17,091V,215/50 R 17,091V
MAZDA,Mazda6,2007 - 2013,2.0 L 147,225/45 R 18,091W,225/45 R 18,091W
LINCOLN,Navigator,2003 - 2006,5.4 V8 304,275/65 R 18,114H,275/65 R 18,114H
LINCOLN,Navigator,2003 - 2006,5.4 V8 304,255/70 R 18,112S,255/70 R 18,112S
HYUNDAI,Accent,2006 - 2011,1.4 L 97,185/65 R 14,086H,185/65 R 14,086H
HYUNDAI,Accent,2006 - 2011,1.4 L 97,175/70 R 14,084T,175/70 R 14,084T
HYUNDAI,Accent,2006 - 2011,1.4 L 97,195/55 R 15,085V,195/55 R 15,085V
FORD,Sierra Clipper,1987 - 1994,1.6,185/70 R 13,086T,185/70 R 13,086T
FORD,Sierra Clipper,1987 - 1994,1.6,195/65 R 14,089H,195/65 R 14,089H
FORD,Sierra Clipper,1987 - 1994,1.6,185/65 R 14,086T,185/65 R 14,086T
NISSAN,200 SX (S14),1993 - 2000,2.0 T 200,205/55 R 16,089V,205/55 R 16,089V
OPEL,Corsa B,1993 - 2000,1.0 12V 54,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.0 12V 54,145/80 R 13,075T,145/80 R 13,075T
OPEL,Corsa B,1993 - 2000,1.0 12V 54,165/70 R 13,079T,165/70 R 13,079T
MERCEDES,E 200,2009 - 2016,2.0 L 184,205/60 R 16,092W,205/60 R 16,092W
MERCEDES,E 200,2009 - 2016,2.0 L 184,245/40 R 18,097Y,265/35 R 18,097Y
MERCEDES,E 200,2009 - 2016,2.0 L 184,245/45 R 17,095W,245/45 R 17,095W
MERCEDES,E 200,2009 - 2016,2.0 L 184,245/40 R 18,097Y,245/40 R 18,097Y
MERCEDES,E 200,2009 - 2016,2.0 L 184,245/35 R 19,093Y,275/30 R 19,096Y
MERCEDES,E 200,2009 - 2016,2.0 L 184,225/55 R 16,095W,225/55 R 16,095W
FORD,Sierra Clipper,1987 - 1994,1.8,175/80 R 13,086T,175/80 R 13,086T
FORD,Sierra Clipper,1987 - 1994,1.8,195/65 R 14,089T,195/65 R 14,089T
FORD,Sierra Clipper,1987 - 1994,1.8,185/70 R 13,086T,185/70 R 13,086T
FORD,Sierra Clipper,1987 - 1994,1.8,185/65 R 14,086T,185/65 R 14,086T
MAZDA,Mazda6,2007 - 2013,2.2 D 125,205/60 R 16,092H,205/60 R 16,092H
MAZDA,Mazda6,2007 - 2013,2.2 D 125,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.2 D 125,215/50 R 17,091V,215/50 R 17,091V
MAZDA,Mazda6,2007 - 2013,2.2 D 125,225/45 R 18,091W,225/45 R 18,091W
OPEL,Corsa B,1993 - 2000,1.5 TD 67,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.5 TD 67,165/70 R 13,079T,165/70 R 13,079T
LINCOLN,Navigator,2007 - 2017,3.5 V6 380,275/55 R 20,113T,275/55 R 20,113T
FORD,Sierra Clipper,1987 - 1994,1.8i,195/65 R 14,089H,195/65 R 14,089H
FORD,Sierra Clipper,1987 - 1994,1.8i,185/65 R 14,086T,185/65 R 14,086T
MAZDA,Mazda6,2007 - 2013,2.2 MZR-CD 129,205/60 R 16,092H,205/60 R 16,092H
MAZDA,Mazda6,2007 - 2013,2.2 MZR-CD 129,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.2 MZR-CD 129,225/45 R 18,091W,225/45 R 18,091W
MAZDA,Mazda6,2007 - 2013,2.2 MZR-CD 129,215/50 R 17,091V,215/50 R 17,091V
LINCOLN,Navigator,2007 - 2017,5.4 V8 310,275/55 R 20,111H,275/55 R 20,111H
LINCOLN,Navigator,2007 - 2017,5.4 V8 310,255/70 R 18,112H,255/70 R 18,112H
FORD,Sierra Clipper,1987 - 1994,2.3 D,175/80 R 13,086T,175/80 R 13,086T
FORD,Sierra Clipper,1987 - 1994,2.3 D,195/65 R 14,089T,195/65 R 14,089T
OPEL,Corsa B,1993 - 2000,1.5 D 50,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.5 D 50,145/80 R 13,075T,145/80 R 13,075T
OPEL,Corsa B,1993 - 2000,1.5 D 50,165/70 R 13,079T,165/70 R 13,079T
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,235/40 R 18,095H,235/40 R 18,095H
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,235/45 R 17,094W,235/45 R 17,094W
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,235/35 R 19,000ZR,255/30 R 19,000ZR
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,255/40 R 17,094W,235/45 R 17,094W
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,235/40 R 18,091Y,255/35 R 18,094Y
MERCEDES,E 350 CGI Cabrio,2010 - 2016,3.5 V6 292,235/45 R 17,094H,235/45 R 17,094H
LINCOLN,Navigator,2007 - 2017,3.5 V6 EcoBoost 380,275/55 R 20,113T,275/55 R 20,113T
LINCOLN,Navigator,2007 - 2017,3.5 V6 EcoBoost 380,285/45 R 22,114H,285/45 R 22,114H
OPEL,Corsa B,1993 - 2000,1.4 L 60,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.4 L 60,165/70 R 13,079T,165/70 R 13,079T
KIA,Sorento,2015 - 2019,2.4 L 188,235/60 R 18,103H,235/60 R 18,103H
KIA,Sorento,2015 - 2019,2.4 L 188,235/65 R 17,104H,235/65 R 17,104H
KIA,Sorento,2015 - 2019,2.4 L 188,235/55 R 19,101V,235/55 R 19,101V
ROVER,820 Vitesse,1989 - 1994,2.0 Turbo 179,205/55 R 16,000ZR,205/55 R 16,000ZR
OPEL,Corsa B,1993 - 2000,1.7 D 60,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.7 D 60,165/70 R 13,079T,165/70 R 13,079T
OPEL,Corsa B,1993 - 2000,1.7 D 60,145/80 R 13,075T,145/80 R 13,075T
KIA,Sorento,2015 - 2019,2.0 CRDi 185,235/55 R 19,101V,235/55 R 19,101V
KIA,Sorento,2015 - 2019,2.0 CRDi 185,235/65 R 17,104H,235/65 R 17,104H
KIA,Sorento,2015 - 2019,2.0 CRDi 185,235/60 R 18,103H,235/60 R 18,103H
OPEL,Corsa B,1993 - 2000,1.4 16V 90,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.4 16V 90,165/70 R 13,079T,165/70 R 13,079T
KIA,Sorento,2015 - 2019,2.2 CRDi 200,235/65 R 17,104H,235/65 R 17,104H
KIA,Sorento,2015 - 2019,2.2 CRDi 200,235/55 R 19,101V,235/55 R 19,101V
KIA,Sorento,2015 - 2019,2.2 CRDi 200,165/90 R 17,105M,165/90 R 17,105M
KIA,Sorento,2015 - 2019,2.2 CRDi 200,235/60 R 18,103H,235/60 R 18,103H
KIA,Sorento,2015 - 2019,2.2 CRDi 200,155/90 R 18,113M,155/90 R 18,113M
MAZDA,Mazda6,2007 - 2013,2.5 L 170,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.5 L 170,205/60 R 16,092V,205/60 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.5 L 170,225/45 R 18,091W,225/45 R 18,091W
MAZDA,Mazda6,2007 - 2013,2.5 L 170,215/50 R 17,091V,215/50 R 17,091V
NISSAN,Qashqai All-Mode,2013 - 2020,1.6 dCi 130,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai All-Mode,2013 - 2020,1.6 dCi 130,225/45 R 19,092W,225/45 R 19,092W
NISSAN,Qashqai All-Mode,2013 - 2020,1.6 dCi 130,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai All-Mode,2013 - 2020,1.6 dCi 130,215/65 R 16,098H,215/65 R 16,098H
FORD,Sierra Clipper,1987 - 1994,2.0i,195/65 R 14,089H,195/65 R 14,089H
FORD,Sierra Clipper,1987 - 1994,2.0i,185/65 R 14,086H,185/65 R 14,086H
SUBARU,Justy I,1984 - 1995,1.0 L 54,175/60 R 13,077H,175/60 R 13,077H
SUBARU,Justy I,1984 - 1995,1.0 L 54,155/70 R 13,072S,155/70 R 13,072S
SUBARU,Justy I,1984 - 1995,1.0 L 54,165/65 R 13,076S,165/65 R 13,076S
LINCOLN,Navigator,2017 - ,3.5 T 450,275/65 R 18,116H,275/65 R 18,116H
LINCOLN,Navigator,2017 - ,3.5 T 450,275/55 R 20,113H,275/55 R 20,113H
LINCOLN,Navigator,2017 - ,3.5 T 450,285/45 R 22,114H,285/45 R 22,114H
OPEL,Corsa B,1993 - 2000,1.2 L 45,165/70 R 13,079T,165/70 R 13,079T
OPEL,Corsa B,1993 - 2000,1.2 L 45,165/65 R 14,079T,165/65 R 14,079T
OPEL,Corsa B,1993 - 2000,1.2 L 45,145/80 R 13,075T,145/80 R 13,075T
NISSAN,Qashqai All-Mode,2013 - 2020,2.0 L 144,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai All-Mode,2013 - 2020,2.0 L 144,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai All-Mode,2013 - 2020,2.0 L 144,225/45 R 19,092W,225/45 R 19,092W
NISSAN,Qashqai All-Mode,2013 - 2020,2.0 L 144,215/65 R 16,098H,215/65 R 16,098H
SUBARU,Justy I,1984 - 1995,1.2 L 67,155/70 R 13,072S,155/70 R 13,072S
SUBARU,Justy I,1984 - 1995,1.2 L 67,175/60 R 13,077H,175/60 R 13,077H
SUBARU,Justy I,1984 - 1995,1.2 L 67,165/65 R 13,076S,165/65 R 13,076S
SUBARU,Justy I,1984 - 1995,1.0 L 50,155/70 R 13,072S,155/70 R 13,072S
SUBARU,Justy I,1984 - 1995,1.0 L 50,175/60 R 13,077H,175/60 R 13,077H
SUBARU,Justy I,1984 - 1995,1.0 L 50,165/65 R 13,076S,165/65 R 13,076S
FORD,Sierra Clipper 4X4,1987 - 1994,2.8,195/60 R 14,086V,195/60 R 14,086V
LINCOLN,MKX,2016 - 2018,2.7 L Twin Turbo 335,245/60 R 18,105V,245/60 R 18,105V
LINCOLN,MKX,2016 - 2018,2.7 L Twin Turbo 335,155/70 R 18,112M,155/70 R 18,112M
LINCOLN,MKX,2016 - 2018,2.7 L Twin Turbo 335,245/50 R 20,102V,245/50 R 20,102V
LINCOLN,MKX,2016 - 2018,2.7 L Twin Turbo 335,265/40 R 21,105V,265/40 R 21,105V
MAZDA,Mazda6,2007 - 2013,2.0 L 155,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.0 L 155,205/60 R 16,092V,205/60 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.0 L 155,225/45 R 18,091W,225/45 R 18,091W
MAZDA,Mazda6,2007 - 2013,2.0 L 155,215/50 R 17,091V,215/50 R 17,091V
FORD,Sierra Clipper 4X4,1987 - 1994,2.0i,195/55 R 15,084H,195/55 R 15,084H
FORD,Sierra Clipper 4X4,1987 - 1994,2.0i,195/60 R 14,086H,195/60 R 14,086H
LINCOLN,MKX,2016 - 2018,3.7 V6 303,155/70 R 18,112M,155/70 R 18,112M
LINCOLN,MKX,2016 - 2018,3.7 V6 303,245/60 R 18,104H,245/60 R 18,104H
LINCOLN,MKX,2016 - 2018,3.7 V6 303,245/50 R 20,102V,245/50 R 20,102V
LINCOLN,MKX,2016 - 2018,3.7 V6 303,265/40 R 21,105V,265/40 R 21,105V
KIA,Sorento,2002 - 2009,2.4 L 140,245/70 R 16,107H,245/70 R 16,107H
KIA,Sorento,2002 - 2009,2.4 L 140,225/75 R 16,104H,225/75 R 16,104H
FORD,Sierra Clipper 4X4,1987 - 1994,2.9,195/60 R 14,086H,195/60 R 14,086H
SUBARU,Forester II,2002 - 2007,2.5 L 252,225/45 R 18,095W,225/45 R 18,095W
KIA,Sorento,2002 - 2009,3.5 V6 195,225/75 R 16,104H,225/75 R 16,104H
KIA,Sorento,2002 - 2009,3.5 V6 195,245/70 R 16,107H,245/70 R 16,107H
ROVER,820 Vitesse,1995 - 1999,2.0 Turbo,215/45 R 17,000ZR,215/45 R 17,000ZR
ROVER,820 Vitesse,1995 - 1999,2.0 Turbo,115/70 R 15,090M,115/70 R 15,090M
ROVER,820 Vitesse,1995 - 1999,2.0 Turbo,205/55 R 16,000ZR,205/55 R 16,000ZR
SUBARU,Forester II,2002 - 2007,2.5 L 167,215/60 R 16,095V,215/60 R 16,095V
LINCOLN,MKX,2007 - 2015,3.7 V6 305,245/60 R 18,104H,245/60 R 18,104H
LINCOLN,MKX,2007 - 2015,3.7 V6 305,245/50 R 20,102H,245/50 R 20,102H
KIA,Sorento,2002 - 2009,2.5 CRDi 170,245/65 R 17,107H,245/65 R 17,107H
KIA,Sorento,2002 - 2009,2.5 CRDi 170,245/70 R 16,107H,245/70 R 16,107H
SUBARU,Forester II,2002 - 2007,2.5 16V 230,215/55 R 17,094V,215/55 R 17,094V
SUBARU,Forester II,2002 - 2007,2.5 16V 230,215/60 R 16,095V,215/60 R 16,095V
LINCOLN,MKX,2007 - 2015,3.5 V6 265,245/60 R 18,104H,245/60 R 18,104H
LINCOLN,MKX,2007 - 2015,3.5 V6 265,245/50 R 20,102H,245/50 R 20,102H
KIA,Sorento,2002 - 2009,3.3 V6 248,245/65 R 17,107H,245/65 R 17,107H
KIA,Sorento,2002 - 2009,3.3 V6 248,245/70 R 16,107H,245/70 R 16,107H
MAZDA,Mazda6,2007 - 2013,2.2 D 185,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,2.2 D 185,205/60 R 16,092H,205/60 R 16,092H
MAZDA,Mazda6,2007 - 2013,2.2 D 185,225/45 R 18,091W,225/45 R 18,091W
MAZDA,Mazda6,2007 - 2013,2.2 D 185,215/50 R 17,091V,215/50 R 17,091V
HYUNDAI,Starex,1997 - 2007,2.5 TD 80,205/70 R 15,106S,205/70 R 15,106S
KIA,Sorento,2002 - 2009,2.5 D 140,225/75 R 16,104H,225/75 R 16,104H
KIA,Sorento,2002 - 2009,2.5 D 140,245/70 R 16,107H,245/70 R 16,107H
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 dCi 150,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 dCi 150,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 dCi 150,215/65 R 16,098H,215/65 R 16,098H
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,205/55 R 16,091H,225/50 R 16,092H
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,225/40 R 18,092Y,245/35 R 18,092Y
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,195/60 R 16,089V,195/60 R 16,089V
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,205/55 R 16,091H,205/55 R 16,091H
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,225/40 R 18,092Y,225/40 R 18,092Y
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,225/45 R 17,091H,225/45 R 17,091H
MERCEDES,CLC 160,2008 - 2011,1.6 L 129,225/45 R 17,091H,245/40 R 17,091H
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,235/45 R 19,095W,235/45 R 19,095W
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,235/55 R 17,099V,235/55 R 17,099V
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,225/55 R 17,097W,225/55 R 17,097W
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,245/40 R 20,095W,245/40 R 20,095W
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,235/50 R 18,097V,235/50 R 18,097V
OPEL,Astra J GTC,2011 - 2015,1.7 CDTI 110,245/45 R 18,096W,245/45 R 18,096W
KIA,Sorento,2002 - 2009,3.8 V6 269,225/75 R 16,104H,225/75 R 16,104H
KIA,Sorento,2002 - 2009,3.8 V6 269,245/70 R 16,107H,245/70 R 16,107H
FORD,Transit Connect,2002 - 2013,1.8 TDCI 110,205/55 R 16,094H,205/55 R 16,094H
FORD,Transit Connect,2002 - 2013,1.8 TDCI 110,195/65 R 15,095T,195/65 R 15,095T
SUBARU,Forester II,2002 - 2007,2.0 16V 157,215/60 R 16,095V,215/60 R 16,095V
SUBARU,Forester II,2002 - 2007,2.0 16V 157,205/70 R 15,095H,205/70 R 15,095H
FORD,Transit Connect,2002 - 2013,1.8 L 115,195/65 R 15,091T,195/65 R 15,091T
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,225/55 R 17,097W,225/55 R 17,097W
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,235/55 R 17,099V,235/55 R 17,099V
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,245/40 R 20,095W,245/40 R 20,095W
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,235/45 R 19,095W,235/45 R 19,095W
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,245/45 R 18,096W,245/45 R 18,096W
OPEL,Astra J GTC,2011 - 2015,1.6 CDTI 110,235/50 R 18,097V,235/50 R 18,097V
KIA,Sorento,2009 - 2015,3.5 V6 277,235/60 R 18,103H,235/60 R 18,103H
KIA,Sorento,2009 - 2015,3.5 V6 277,235/65 R 17,104T,235/65 R 17,104T
KIA,Sorento,2009 - 2015,3.5 V6 277,235/55 R 19,101H,235/55 R 19,101H
MAZDA,Mazda6,2007 - 2013,1.8 L 120,195/65 R 16,092V,195/65 R 16,092V
MAZDA,Mazda6,2007 - 2013,1.8 L 120,205/60 R 16,092V,205/60 R 16,092V
MAZDA,Mazda6,2007 - 2013,1.8 L 120,215/50 R 17,091V,215/50 R 17,091V
MAZDA,Mazda6,2007 - 2013,1.8 L 120,225/45 R 18,091W,225/45 R 18,091W
SUBARU,Forester II,2002 - 2007,2.5 16V 210,215/60 R 16,095V,215/60 R 16,095V
HYUNDAI,Starex,1997 - 2007,2.4 L 112,205/70 R 15,106S,205/70 R 15,106S
FORD,Transit Connect,2002 - 2013,1.8 TDCI 90,195/65 R 15,095T,195/65 R 15,095T
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,225/40 R 18,092Y,225/40 R 18,092Y
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,205/50 R 17,093H,205/50 R 17,093H
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,225/40 R 18,092V,225/40 R 18,092V
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,225/45 R 17,091V,225/45 R 17,091V
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,205/55 R 16,091H,205/55 R 16,091H
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,205/55 R 16,091V,205/55 R 16,091V
MERCEDES,CLA 220 D Shooting Brake 4Matic,2019 - ,2.1 D 170,225/40 R 19,093W,225/40 R 19,093W
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 L 140,215/60 R 17,096H,215/60 R 17,096H
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 L 140,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai All-Mode,2007 - 2013,2.0 L 140,215/65 R 16,098H,215/65 R 16,098H
KIA,Sorento,2009 - 2015,2.0 CRDi 150,235/65 R 17,104T,235/65 R 17,104T
KIA,Sorento,2009 - 2015,2.0 CRDi 150,235/55 R 19,101H,235/55 R 19,101H
KIA,Sorento,2009 - 2015,2.0 CRDi 150,235/60 R 18,103H,235/60 R 18,103H
HYUNDAI,Starex,1997 - 2007,2.5 CRDi 163,215/70 R 16,108T,215/70 R 16,108T
FORD,Transit Connect,2002 - 2013,1.8 TDCI 75,195/65 R 15,095T,195/65 R 15,095T
NISSAN,Qashqai All-Mode,2007 - 2013,1.6 dCi 130,215/65 R 16,098H,215/65 R 16,098H
NISSAN,Qashqai All-Mode,2007 - 2013,1.6 dCi 130,215/55 R 18,099V,215/55 R 18,099V
NISSAN,Qashqai All-Mode,2007 - 2013,1.6 dCi 130,215/60 R 17,096H,215/60 R 17,096H
KIA,Sorento,2009 - 2015,2.2 CRDi 197,235/55 R 19,101H,235/55 R 19,101H
KIA,Sorento,2009 - 2015,2.2 CRDi 197,235/65 R 17,104T,235/65 R 17,104T
KIA,Sorento,2009 - 2015,2.2 CRDi 197,235/60 R 18,103H,235/60 R 18,103H
ROVER,620 SDI,1995 - 1997,2.0 D,185/65 R 15,088H,185/65 R 15,088H
KIA,Sorento,2009 - 2015,2.4 L 174,235/55 R 19,101H,235/55 R 19,101H
KIA,Sorento,2009 - 2015,2.4 L 174,235/65 R 17,104T,235/65 R 17,104T
KIA,Sorento,2009 - 2015,2.4 L 174,235/60 R 18,103H,235/60 R 18,103H
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,235/45 R 19,095W,235/45 R 19,095W
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,235/55 R 17,099V,235/55 R 17,099V
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,225/55 R 17,097W,225/55 R 17,097W
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,245/40 R 20,095W,245/40 R 20,095W
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,235/50 R 18,097V,235/50 R 18,097V
OPEL,Astra J GTC,2011 - 2015,1.4 T 140,245/45 R 18,096W,245/45 R 18,096W
LINCOLN,MKS,2009 - 2016,3.7 V6 275,255/45 R 19,100V,255/45 R 19,100V
