Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 367,225/40 R 19,093Y,255/35 R 19,096Y
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 367,225/45 R 18,095Y,245/40 R 18,097Y
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 367,225/45 R 18,095V,225/45 R 18,095V
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 367,225/40 R 19,093ZR(Y),255/35 R 19,096ZR(Y)
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 367,225/45 R 18,095H,245/40 R 18,097H
ALPINA,B7 Biturbo (G12),2016 - ,4.4 V8 biturbo 608 xDrive ,255/40 R 20,101V,285/35 R 20,100V
ALPINA,B7 Biturbo (G12),2016 - ,4.4 V8 biturbo 608 xDrive ,255/35 R 21,098ZR(Y),295/30 R 21,102ZR(Y)
ALPINA,B7 Biturbo (G12),2016 - ,4.4 V8 biturbo 608 xDrive ,255/40 R 20,101ZR(Y),295/35 R 20,105ZR(Y)
CHRYSLER,300C AWD,2004 - 2011,3.5 V6 249,225/60 R 18,100W,225/60 R 18,100W
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 390,225/40 R 19,093Y,255/35 R 19,096Y
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 390,225/45 R 18,095V,245/40 R 18,097V
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 390,225/45 R 18,095V,225/45 R 18,095V
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 390,225/40 R 19,093ZR(Y),255/35 R 19,096ZR(Y)
MERCEDES-AMG,C 43 4Matic,2016 - 2021,3.0 V6 390,225/45 R 18,095H,245/40 R 18,097H
CHRYSLER,300C AWD,2004 - 2011,5.7 V8 340,225/60 R 18,100W,225/60 R 18,100W
LADA,Granta Berlina,2012 - ,1.6 L 98,185/55 R 15,082T,185/55 R 15,082T
LADA,Granta Berlina,2012 - ,1.6 L 98,185/60 R 14,082T,185/60 R 14,082T
LADA,Granta Berlina,2012 - ,1.6 L 98,175/70 R 13,082T,175/70 R 13,082T
LADA,Granta Berlina,2012 - ,1.6 L 98,175/65 R 14,082T,175/65 R 14,082T
ALPINA,B 4 Gran Coupé (G26),2022 - ,3.0 L 495,255/35 R 20,097W,285/30 R 20,099W
ALPINA,B 4 Gran Coupé (G26),2022 - ,3.0 L 495,255/35 R 20,097ZR(Y),285/30 R 20,099ZR(Y)
DAIHATSU,Domino,1985 - 1990,0.9 L 44,145/70 R 12,069S,145/70 R 12,069S
MASERATI,MC20,2021 - ,3.0 L V6 Bi-Turbo 630,245/35 R 20,095ZR(Y),305/30 R 20,103ZR(Y)
ALPINA,B 4 Gran Coupé (G26),2022 - ,3.0 biturbo 495,255/35 R 20,097W,285/30 R 20,099W
ALPINA,B 4 Gran Coupé (G26),2022 - ,3.0 biturbo 495,255/35 R 20,097Y,285/30 R 20,099Y
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 610,255/40 R 20,101W,255/40 R 20,101W
